metric,date,no2,sentiment
NO2,2018-07-01,0.15333333333333332,-0.033875022922299824
NO2,2018-08-01,0.12092307692307692,-0.24411570945718974
NO2,2018-09-01,0.13118518518518518,-0.17754688448367767
NO2,2018-10-01,0.22055172413793103,0.4021610408361156
NO2,2018-11-01,0.22753571428571429,0.4474651835999539
NO2,2018-12-01,0.2416756756756757,0.5391890858292976
NO2,2019-01-01,0.2644,0.6865985196366635
NO2,2019-02-01,0.2025625,0.28546752304611833
NO2,2019-03-01,0.1356764705882353,-0.148412560009078
NO2,2019-04-01,0.16161111111111112,0.01982173470139248
NO2,2019-05-01,0.15234285714285714,-0.040300099961069535
NO2,2019-06-01,0.1564705882352941,-0.013524100175065501
NO2,2019-07-01,0.14190625,-0.10800087415534126
NO2,2019-08-01,0.12376315789473684,-0.22569251138870727
NO2,2019-09-01,0.14454285714285714,-0.09089758164138084
NO2,2019-10-01,0.15102631578947368,-0.048840314962248
NO2,2019-11-01,0.1793125,0.13464810649903636
NO2,2019-12-01,0.25122222222222224,0.6011161645471346
NO2,2020-01-01,0.1928857142857143,0.22269560152010937
NO2,2020-02-01,0.15763636363636363,-0.005961882290581866
NO2,2020-03-01,0.1367878787878788,-0.1412030143653844
NO2,2020-04-01,0.09280555555555556,-0.42651003923782116
NO2,2020-05-01,0.11336666666666667,-0.293133059395348
air,2018-07-01,NA,0.1438185422633912
air,2018-08-01,NA,-0.3701922301551736
air,2018-09-01,NA,0.10950072801506668
air,2018-10-01,NA,-0.42651003923782116
air,2018-11-01,NA,0.0895903443734834
air,2018-12-01,NA,0.012740353084010569
air,2019-01-01,NA,-0.08117463849246405
air,2019-02-01,NA,-0.08266912088377765
air,2019-03-01,NA,0.12887701791387682
air,2019-04-01,NA,-0.009848768867375842
air,2019-05-01,NA,0.07925309903631246
air,2019-06-01,NA,0.1352699961783384
air,2019-07-01,NA,0.18749669699509672
air,2019-08-01,NA,0.12044677263972788
air,2019-09-01,NA,0.12917553437436077
air,2019-10-01,NA,0.0641345265360119
air,2019-11-01,NA,0.0057691319028873225
air,2019-12-01,NA,-0.10124361455715884
air,2020-01-01,NA,0.02217815116402185
air,2020-02-01,NA,0.11803473177203266
air,2020-03-01,NA,0.15104349466933675
air,2020-04-01,NA,0.08564552796342695
air,2020-05-01,NA,0.16019820483935415
energy,2018-07-01,NA,0.15194661048080582
energy,2018-08-01,NA,0.4778634195621963
energy,2018-09-01,NA,0.4294922179516512
energy,2018-10-01,NA,0.42789985410266324
energy,2018-11-01,NA,0.6281650197117126
energy,2018-12-01,NA,0.4253281451794001
energy,2019-01-01,NA,0.5272217793398938
energy,2019-02-01,NA,0.6865985196366635
energy,2019-03-01,NA,0.32523280283245926
energy,2019-04-01,NA,0.31719107418908726
energy,2019-05-01,NA,0.42348992891765885
energy,2019-06-01,NA,0.48694944583248656
energy,2019-07-01,NA,0.4240429640476013
energy,2019-08-01,NA,0.4257104826491169
energy,2019-09-01,NA,0.5542300520184485
energy,2019-10-01,NA,0.3611396100588048
energy,2019-11-01,NA,0.45454165335507335
energy,2019-12-01,NA,0.37667788274434594
energy,2020-01-01,NA,0.44555919582447173
energy,2020-02-01,NA,0.35240248701922405
energy,2020-03-01,NA,0.3836806743571499
energy,2020-04-01,NA,0.3533411091358499
energy,2020-05-01,NA,0.4024016494926417
